created_at;id_str;full_text;retweet_count;favorite_count
20191031 122012;1189879744659148801;.....the Dems have selectively leaked. Nor was there any corrupt intent on the part of the President. Remember, the President knew that that call was being heard and documented by many people. Anyone with intent would be a tad more discreet, dont you think? This farce should....;6682;23673
20191031 122012;1189879743895810048;Now is the time for Republicans to stand together and defend the leader of their party against these smears. It would be one thing if there were any indication of an underlying crime, but there is notnot in the transcripts, and not in the secret witness testimony that.....;21403;82522
20191031 044956;1189766430826344449;Congratulations to the Washington Nationals on a great season and an incredible World Series. Game 7 was amazing! @Nationals;9261;59718
20191031 043604;1189762942004289536;Thank you Daily Wire. Very cute recreation, but the live version of Conan will be leaving the Middle East for the White House sometime next week! .coZ1UfhxsSpT;20354;98287
20191031 041708;1189758177824452608;The Do Nothing Democrats have gone Crazy. Very bad for USA! .co3zApgOOA7I;14347;56789
20191031 012648;1189715310766645254;.coz0I7wBsgTP;38736;128949
20191030 204243;1189643818431406080;The Democrats have been on this path for 3 years. The first headline I saw...before the President was sworn in was that the Impeachment process was beginning...so this is just further evidence that this is what they had in mind from the very beginning. @senatemajldr .coscFWSh47Bq;20004;63566
20191030 202154;1189638577866657794;Thank you @GLFOP! .coIpoUY7QPM2;11085;38121
20191030 195402;1189631565279760391;Adam Schiffs drive to impeach Trump based on opinions, deception and illusions – Not facts @GreggJarrett .coN31CGYraYP;18870;61196
20191030 194944;1189630486886395906;We will be having a big rally for Governor @MattBevin on Monday night in Kentucky. Get your tickets today! .couoPhCLGHpH;12955;41857
20191030 184432;1189614078534311936;....Your current Governor, John Bel Edwards, has done a poor job with economic development last in nation and auto insurance highest in nation wants to raise your taxes BIG  vote for Eddie starting Saturday!;10388;39057
20191030 184432;1189614076743376897;Early voting in Louisiana for a man who will be a Great Governor, @EddieRispone, on Saturday, November 2nd. He will get your Auto Insurance and Taxes way down. He will protect your Military, Vets, Second Amendment and Energy....;15606;55593
20191030 175414;1189601417469841409;AMERICAN HERO! .coXCCa2sGfsZ;87371;438579
20191030 171956;1189592785311223815;Thank you @GM, @FiatChryslerNA, @Toyota, and @GloblAutomkrs for standing with us for Better, Cheaper, Safer Cars for Americans. California has treated the Auto Industry very poorly for many years, harming Workers and Consumers. We are fixing this problem! .cocf6I1e0yjQ;12718;45418
20191030 171626;1189591905740513280;...our Military, 2nd Amendment, Energy, and so many other things that the Democrats dont care about. Please stop the Dems from hurting a very good and hardworking man!.couUnWOtVxBV;10732;40536
20191030 171626;1189591903941152769;My friend Mike @GovDunleavy of the Great State of Alaska, is being treated very unfairly by the Democrats because he is doing an unbelievable job and fulfilling every one of his promises. Now they are trying to Recall him because his agenda is the Economy, Jobs, and protecting...;14971;55106
20191030 145135;1189555451274379265;....the United States Military. Congress needs to do its work. We need to fund our Armed Forces.  @senatemajldr Mitch McConnell.  The Dems are a lost cause. In 2020, we need a big, beautiful WIN all three! #MAGA;14056;53822
20191030 145134;1189555450485837825;Our Country cannot afford for the Democrats in Congress to take a one year vacation from any productive legislation just because they would rather obsess over Impeachment. ISIS amp other radical terrorists are not going to hit the pause button because Democrats wont fund......;20673;76250
20191030 143246;1189550716186177536;Precisely the same program that the Democrats are trying to  Impeach President Trump for supposedly slow walking, tomorrow, right here in the Senate, they the Dems say theyre going to filibuster for the exact same program. @senatemajldr Mitch McConnell. Do Nothing Democrats!;14144;52833
20191030 125914;1189527179425730560;Yesterdays Never Trumper witness could find NO Quid Pro Quo in the Transcript of the phone call. There were many people listening to the call. How come they including the President of Ukraine found NOTHING wrong with it. Witch Hunt!;22241;93410
20191030 122621;1189518901991923712;A Federal Judge is allowing the Nick Sandman libel suit to move forward against the thoroughly disgusting Washington Post which is no longer available at the White House!. He could now have a good chance of winning. Go Nick!;26500;109734
20191030 121721;1189516638103703552;It does appear it has to do with Nancy Pelosi retaining her Speakership in the next Congress. She would like that so shes going to put it to a vote because thats what her political left really wants. @SteveDoocy @foxandfriends  A disgraceful use of Impeachment. Will backfire!;16406;65503
20191030 113806;1189506762904395776;The Greatest Economy in American History!;25163;136747
20191030 113209;1189505265151991809;.....the call with the Ukrainian President was a totally appropriate one. As he said, No Pressure. This Impeachment nonsense is just a continuation of the Witch Hunt Hoax, which has been going on since before I even got elected. Rupublicans, go with Substance and close it out!;10460;47025
20191030 113209;1189505264376000512;Republicans are very unified and energized in our fight on the Impeachment Hoax with the Do Nothing Democrats, and now  are starting to go after the Substance even more than the very infair Process because just a casual reading of the Transcript leads EVERYBODY to see that.....;13671;60070
20191029 151430;1189198831193411585;Nervous Nancy Pelosi is doing everything possible to destroy the Republican Party. Our Polls show that it is going to be just the opposite. The Do Nothing Dems will lose many seats in 2020. They have a Death Wish, led by a corrupt politician, Adam Schiff!;33559;135205
20191029 151358;1189198697059553285;Over in Europe and Japan they have NEGATIVE RATES. They get paid to borrow money. Dont we have to follow our competitors? @Varneyco  Yes we do. The Fed doesnt have a clue! We have unlimited potential, only held back by the Federal Reserve. But we are winning anyway!;16138;63365
20191029 141247;1189183301233233920;Consumer Confidence number very good. Housing sales in September up nicely. Economy Rocks!;14238;64248
20191029 133415;1189173602500911105;A great new book just out, The Plot Against the President. The True Story Of How Congressman Devin Nunez Uncovered the Biggest Political Scandal In U.S. History. Shows very bad and corrupt people on the other side. Check it out!;19576;71953
20191029 132944;1189172468159864832;Just confirmed that Abu Bakr alBaghdadis number one replacement has been terminated by American troops. Most likely would have taken the top spot  Now he is also Dead!;52017;252633
20191029 132020;1189170102832377857;95 Approval Rating in the Republican Party, a record. Thank you!;24824;146622
20191029 130914;1189167309455331328;Supposedly, according to the Corrupt Media, the Ukraine call concerned todays Never Trumper witness. Was he on the same call that I was? Cant be possible! Please ask him to read the Transcript of the call. Witch Hunt!;20608;82048
20191029 124727;1189161824614277120;How many more Never Trumpers will be allowed to testify about a perfectly appropriate phone call when all anyone has to do is READ THE TRANSCRIPT! I knew people were listening in on the call why would I say something inappropriate?, which was fine with me, but why so many?;24739;109174
