created_at;id_str;full_text;retweet_count;favorite_count
20191101 190837;1190344912052662272;@alyssamunoz Yes.;0;1
20191101 190652;1190344471357067264;@jenpatriciaaaa A classic #TargetRun. 😂;1;1
20191101 190446;1190343944388919296;@JohnKnee2911 You deserve it.;0;1
20191101 185840;1190342410892693511;@allij04 Were not. ☃;0;0
20191101 183519;1190336534769291264;@LittleDebbie Its the most wonderful time for a sweet tooth, Deb.;1;8
20191101 182629;1190334310781464577;@Alexiious1 All I want for Christmas is...to go on a #TargetRun with you.;0;2
20191101 173201;1190320602088923136;@bowmanannabelle They look so comfy. 😍;1;2
20191101 173018;1190320168901238784;@Nikhitaaax We feel that too. 🙃;1;3
20191101 172506;1190318864149729281;@KYJelly Its all for you. 😉;1;2
20191101 172215;1190318146265210883;@MilesMcQuinn True. 😂;0;1
20191101 172052;1190317798033174528;@SHoneyBunches You deserve it. ❤;1;1
20191101 171546;1190316513145872384;@virg0film Best day ever. 😍;0;1
20191101 165643;1190311719463198722;@AndrewJClaudio If this isnt me... 😂;0;1
20191101 165236;1190310682874523649;@MissSarahJeanne Perfect. 😍;0;2
20191101 165020;1190310112528875522;@jennaclemons Honestly, that sounds like the perfect Halloween. 🎃;1;1
20191101 161438;1190301129227288576;@googlefi Does this mean we get to talk on the phone? ❤️;0;2
20191101 155925;1190297301304037376;@teenathach Tis the szn!;0;1
20191101 155205;1190295454728237058;@ActressCinnamon What an adorable princess! 😍;0;0
20191101 155122;1190295272779374593;@yaye Been there... 🙃;0;1
20191101 155054;1190295154164453376;@maggiexmah Couldnt agree more.;0;1
20191101 155019;1190295007938396167;@tiredtristan Does this mean were a part of the family?;1;1
20191101 154926;1190294786013564928;@jh803 We like your style.;2;6
20191101 154855;1190294657407889411;@KAYxJO We have your cart ready!;0;1
20191101 154831;1190294555263950848;@quincinichole ☝;0;1
20191101 154805;1190294449106116609;@pissdd That escalated quickly.;1;4
20191101 154630;1190294050232029191;@ValbonaKoxha We couldnt agree more. 🎄;0;1
20191101 154258;1190293158715891714;@ac2cnkotb Love this for you. ❤;0;1
20191101 153852;1190292129962188800;@oscarfg1398 See you soon. ❤;0;1
20191101 152522;1190288730533314560;@Alexiious1 Why do you assume its only one song?;0;1
20191101 152509;1190288675743182849;@tcsharp We feel that.;1;1
20191101 152351;1190288348176363520;@mjlp716 Where is the holly, jolly spirit?;0;0
20191101 151131;1190285246274646017;@IAmWana What a sweet way to spend your Friday!;0;1
20191101 151101;1190285119313129472;@pohia Employee of the year! 🏆;0;0
20191101 144833;1190279466578264064;Me today My headphones Holiday music 020 ━❍──────── 130            ↻     ⊲  Ⅱ  ⊳     ↺Volume ▁▂▃▄▅▆▇ 100;245;861
20191101 142318;1190273112077750273;@MeganDiora Does this mean were official?;0;0
