created_at;id_str;full_text;retweet_count;favorite_count
20191101 142237;1190272938441875462;@NickZerwas .co9yXfs9IadT;0;1
20191101 142118;1190272609113563136;@junetheloon24 Thats what we call thriving.;0;0
20191101 142044;1190272465433440257;@kayyllla Nicest thing anyone could ever say.;2;8
20191101 141936;1190272180644438016;@ashleyfradette1 You can!;0;2
20191101 141922;1190272122750418946;@courtneyanne Its the thought that counts. 😉;0;1
20191101 041816;1190120848302194688;@swiftiealways26 We thought so! 😱;0;1
20191101 040012;1190116300791730179;@susmarg11 Its possible! 💪;0;0
20191101 035653;1190115469807771650;@nkotbgal21 Weve heard it happens on occasion.;0;2
20191101 032520;1190107527423418368;@malloryweggeman .coBYgZVneHoB;0;1
20191101 032312;1190106991487795200;@katyvernonmusic Clearly you needed that!;0;0
20191101 031922;1190106027167043586;@invisxblue Love that for you.;1;2
20191101 020123;1190086403432079360;@HappilyAmanda Nailed. It. 👏;0;0
20191101 015851;1190085764836659200;@SpitfireArty So... haul coming soon?;0;0
20191101 015633;1190085184365969408;@shannonsansone Those trick or treaters are so lucky. 😍;1;2
20191101 015558;1190085039930904576;@mackycheez Our dream Halloween in a tweet. 😄;0;1
20191101 015417;1190084613936472064;@JonnaShea We think youre right.;1;1
20191031 224059;1190035970718158848;@Starbucks Tag yourself, were the Target Mom.;1;64
20191031 215255;1190023871665229825;The scariest thing happened today. I stuck to my list. 👻;41;732
20191031 204415;1190006594106511360;@commanderxp90 Youre Spooktacular!;0;2
20191031 204407;1190006559490883585;@tanya1003 Good, so well see you later? 😉;0;2
20191031 204400;1190006531024134144;@youbelongwitht And thats why we love you! 😘;0;3
20191031 201944;1190000423471587328;@jam101897 Weve been there. 🙃;1;1
20191031 201650;1189999694619037697;@Khyyyyy .coMMBgUdULEG;0;2
20191031 201149;1189998428270596098;@arimarq Us, every day.;0;6
20191031 200738;1189997377874276353;@RiikoKid We love that. 💕;0;0
20191031 195409;1189993985194020864;@LittleDebbie Save us a slice, Deb.;1;22
20191031 184650;1189977044936998912;@DQuintana Stay warm!;0;1
20191031 182416;1189971363714473990;@theajawhite Here you go! 💍;0;2
20191031 182104;1189970560761171968;@MrsGChaves Halloween goals!;0;1
20191031 182038;1189970450861965312;@JenJenThomas Yay!;0;2
20191031 181904;1189970054445764608;@TayTar10 The answer is yes!;0;2
20191031 181143;1189968206733156353;@NikkiJo11 Were so in love with this. ❤️;0;2
20191031 174541;1189961652462063616;@MsWalton Infinity. 😍;0;2
20191031 174228;1189960845431840769;@MimiAKA08 We certainly hope so!;0;2
20191031 173551;1189959181526339584;@BrandyeMartin Tag, youre it!;0;2
20191031 172807;1189957233418870786;@darlinacostilla Just making sure! 😉;0;1
20191031 171548;1189954133253591040;@gobolatula So do you. ❤;1;3
20191031 152754;1189926979245621248;@PhilOfThePrsnt YAY!;0;3
20191031 152733;1189926893459574787;@paulposts Hi yay!;0;3
20191031 152707;1189926783409381376;@A4CATHLETES .coPjhcqWcgBb;1;4
20191031 152356;1189925980586029061;@LuckyChick6 We knew we could count on you. 😉;0;3
20191031 152211;1189925541312376832;@BklynActiveMama You look magical! 🦄;0;0
20191031 151601;1189923990921523201;@BevyGood It happens to us, too.;0;1
20191031 151521;1189923822553698304;@rynrynnn Thats what we call thriving.;0;0
20191031 151223;1189923075015532545;@moonlightlinds We asked first. 👻;0;3
20191031 151044;1189922660450484227;@ZombieGirlsLife So well see you later? 😉;0;2
20191031 150630;1189921595458019329;@WorkLifeCoExist So thats a yes, right? 😍;0;7
20191031 150436;1189921117588328448;@tcsharp You are! We were just making sure. 💕;0;5
20191031 144716;1189916752676818946;@Ashleyirene9 Definitely worth it! 😍;0;0
20191031 144329;1189915801924571137;@lauraelizabethm Youre not wrong.;0;1
20191031 144159;1189915426416943105;@ilianamontejano Everyone needs a little shopping break. 🤷;0;1
20191031 144151;1189915391839145984;Wanna be our boo?;213;1795
20191031 143841;1189914593671471110;@hrmaven What a spooktacular find! 👻;0;1
20191031 143717;1189914243925237760;@JordanElise Tbh, were impressed.;0;1
20191031 143559;1189913915985190912;@SandraSaori6 We love you more! ♥;1;1
20191031 141055;1189907606141308931;@xoxoxoitssam Anytime. 😘;0;0
20191031 140815;1189906934058700800;@Imanijay We always have the best time when youre here!;1;1
20191031 140750;1189906828890689537;@lanaellerey Okay, but, same.;0;0
20191031 140626;1189906478796300291;@LibGoth All work and no play makes Target a dull store.;0;1
20191031 140457;1189906106967044096;@libbyajoyce The cutest hammerhead weve ever seen! 😍;0;1
20191031 135924;1189904707000639490;@officiallycorie We knew. 😜;0;0
20191031 135814;1189904415140012033;@awkwardbaker Best costume ever! 👏;1;0
20191031 135749;1189904311226175488;@blistisen You just made our heart happy! 😍;0;2
20191031 135645;1189904040236322822;@adventuresofak This is fangtastic! 👻;0;1
20191031 033557;1189747810142478338;@xoxoxoitssam You are a creative fashionista!;0;0
20191031 032400;1189744802767745025;@QueenoftheLab We couldnt be happier for you. 🎄;0;2
20191031 031415;1189742350404337666;@lexiherrington Dreamy. 😍;0;2
20191031 031054;1189741507064016896;@FunsizeStyle Chloe and Bullseye would make great pals!;1;1
20191031 030747;1189740722875965440;@ashpev1423 👯;1;2
20191031 022956;1189731196743364610;@mirandam1303 @daytoncarrie This look is our favorite. 😍;0;2
20191031 022913;1189731017797644288;@sweetmelisa Wheres the fun in that?!;0;0
20191031 022832;1189730847630512129;@rachellewillia1 Someones ready for trick or treating. 🎃;0;1
20191031 022638;1189730366237630465;@kdwettlaufer If the shoe fits... 😉;0;0
20191031 015803;1189723175485136896;@cuddlylukex Says who? 😉;0;1
20191030 215850;1189662972442030080;@halleelu We support this. 👻;0;1
20191030 215740;1189662680468066304;@tiendo Was that part of the plan? 😉;0;0
20191030 215615;1189662324593975299;@DeanaRagsdale Thanks for noticing.;0;0
20191030 215543;1189662187515785227;@shmemmalie Its happening...;0;1
20191030 215509;1189662047581220864;@devynamber11 Just for you.;0;1
20191030 215448;1189661959647571970;@kungpaopanda How could anyone resist?;0;1
20191030 215357;1189661744907595776;@kahnekanoron1 Feel better. ❤️;0;6
20191030 215304;1189661524748591105;@SlavaAvdeevYT Same!;0;1
20191030 211355;1189651671003074560;@kasssxo Definitely a sign. 😉;0;0
20191030 211130;1189651063382646785;@dailydoseofcee Good luck. 😂;0;2
20191030 210947;1189650629062471680;@safranklin16 We love you, too. ❤;1;1
20191030 210747;1189650128078082048;@StephanieNevar9 .co3jvzmlPBOy;0;1
20191030 210436;1189649324814278656;@BlaykePhillips Just you. ❤;1;10
20191030 210246;1189648865370267649;@babygurlemm We felt this. 😂;0;1
20191030 210014;1189648227307577350;@marissaranae We miss you so much. ❤;1;1
20191030 205829;1189647784485494786;@drkp Thats the right way to do it. 😉;0;1
20191030 205517;1189646981653762049;Its getting spicy on this Target Run with @TiffanyHaddish  and @seanseaevans. 🌶 Watch the full video here .coUxbN9Pcati .coEWSXQEAtUW;45;305
20191030 205418;1189646733489426435;@hannahstewart5 Same. 😂;0;2
20191030 205237;1189646308388278273;@rosedenfield Absolutely. 😉;0;1
20191030 191213;1189621044459507712;@Schadrack Thats the best idea weve ever heard. 😂;0;1
20191030 190857;1189620222942220288;@theBGrass We love it. 😍;0;1
20191030 163401;1189581229219373057;@playaniiii Respect. 😉;1;1
20191030 163006;1189580246141558784;@CaitFortune It all happened so fast. 😅;1;2
20191030 162726;1189579573144555520;@aliciabriseno96 Weve all been there. 🙃;1;2
20191030 162400;1189578711961604098;@jstuart Were on our way to try it now.;0;0
20191030 161548;1189576646061416449;@emilymaster20 We understand. 😉;1;2
20191030 161346;1189576137074266118;@audreyagustin Love that for you. 😍;1;1
20191030 154754;1189569623550771201;@KurtJustKurt Nothing will keep us apart. 😘;0;1
20191030 154315;1189568454799646724;@morganneeliz Oh stop it please keep going. ☺;0;43
20191030 153215;1189565686298955776;Me planning my outfits for the week. .co7F8kuhx3U0;378;2554
20191030 152820;1189564700146700289;@rachelramil Its the most wonderful time of the year!;1;3
20191030 152552;1189564082141179904;@AllisonB Were so proud. 😊;0;0
20191030 151737;1189562002647244803;@Steeeeeeph The perfect date. ❤;1;1
20191030 151612;1189561646177497089;@bebecitaaa Clearly, were excited too. 🎄;0;1
20191030 151536;1189561495929135104;@CristenAmelia Being lazy or being smart? 😉;0;0
20191030 151309;1189560881375596544;@GraceHoge We knew youd love it. ❤;0;1
20191030 144600;1189554049479254016;@samsko We feel like proud parents. 👏;0;1
20191030 144418;1189553621400248320;@kristinfabian19 Lucky us! 😍;0;0
20191030 144129;1189552909899440128;@AdoreAnala Us every day.;0;0
20191030 144108;1189552823865876487;@SabaDesta Never change.;0;1
20191030 143510;1189551319448739840;@jonashley87 Its shocking, but its true.;1;3
20191030 143453;1189551248200142848;@BeckuhBeck This is spooktacular. 🖤;0;1
20191030 143350;1189550987033432065;@trinhallas Tbh, that sounds amazing.;1;8
20191030 142337;1189548413618196483;@ebpetroff Its a musthave.;0;2
20191030 142301;1189548265127268352;@HamlinSavanna7 Its all for you. 😘;0;1
20191030 142142;1189547931529043968;@okangelxo Oh, were ready. 😍;1;3
20191030 141932;1189547388114997249;@littlepolobaby6 Thats a mood.;0;0
20191030 140823;1189544580796030976;@powelltaylor7 👀;0;2
20191030 140804;1189544503373422592;@ninalong Well have your cart ready! 🛒;0;0
20191030 140636;1189544132420734976;@heykristenjane We knew youd love it. 🤗;0;1
20191030 140557;1189543970797428737;@cartoonsbyhil Love that for you.;0;1
20191030 140513;1189543784348082176;@lizzybozzy Better late than never. 🤷;0;0
20191030 140432;1189543614143184898;@MrsFitz6518 Counting down the minutes. ♥;0;1
20191030 034108;1189386729440137222;@TEE1031 Love her. 👻;0;2
20191030 033607;1189385467395035136;@angremenarich You two are perfect for each other. 🌱;1;6
20191030 031448;1189380102968303616;@Heather111xx Its so good, right?! 😍;1;5
20191030 031109;1189379183560003584;@HannahMaxey1 .coY9tERH0vAx;0;1
20191030 030903;1189378653857161219;@ohyaimz Love that for you.;1;4
20191030 015942;1189361200188088320;@EmilyBeeRey Holiday vibes only.;0;4
20191030 015822;1189360868133429249;@kayfloods We felt this in our souls. 😅;0;1
20191030 015726;1189360630412828673;@whitneyrayner Never change.;0;0
20191029 222358;1189306912979980295;@sarjosephine Funny how that happens. 🙃;0;2
20191029 222223;1189306514646941696;@Lakimm We hope you have fun!;0;0
20191029 221431;1189304533958168583;@Helio44033678 Mission accomplished!;0;1
20191029 220110;1189301174853345283;@yuselinnn Selfcare is important.;0;6
20191029 215949;1189300834129063937;@Iovewarner And thats the tea. 💁‍♀️;1;1
20191029 203350;1189279193613393921;@thugerinalife We dont know anymore...;0;2
20191029 203136;1189278633787117569;@ddeungwoo Very specific.😂;0;0
20191029 202520;1189277054807822346;@morganmcdaniel Thats just how it goes sometimes. 😂;1;0
20191029 202039;1189275876682293253;@briannaweid We do it out of love. 😘;1;1
20191029 201329;1189274074855493633;@imnotkenna Now thats the truth. 😂;1;11
20191029 195258;1189268910413090817;@TheLitterBoxSpa Our forever mood. 💁;0;0
20191029 194039;1189265809639649286;@kaillieeeeeee We love you, too. ❤;1;6
20191029 193515;1189264450840342534;@ChipotleTweets 🔴;4;142
20191029 191259;1189258849133518849;@DreaaMoya92 It was worth it. 😂;0;2
20191029 190852;1189257814390255617;@stefanieelax We totally get it. 😉;0;1
20191029 164335;1189221251161739265;@brooklynsep Well go!;1;1
20191029 163749;1189219798439346178;@vanoooch Honestly, same.;1;4
20191029 163528;1189219207025778688;@bynthiv Well be waiting. 😉;0;1
20191029 163349;1189218794541064197;@titisaenz Just your company. ❤;1;13
20191029 163042;1189218009023426562;@lilsarahdarah Good luck! 😂;1;4
20191029 162747;1189217275825545223;@AlloAsherz .coYo84vdU9P8;0;2
20191029 161213;1189213356974055425;@MarissaNye Were still proud of you. ❤;0;0
20191029 160945;1189212734539345920;@seleneeeer We do it out of love. ❤;1;2
20191029 154828;1189207381202407424;@laurenrearick Nothing but respect for you. 🙌;0;1
20191029 154138;1189205659608330240;@abbydupre Thats us every day. 🙃;0;1
20191029 142608;1189186658622533634;@KatieReneeKing Youre a #TargetRun legend. 👏;0;1
20191029 142402;1189186131507568640;@jadenalana Whens our next date?;0;0
20191029 142348;1189186073110269952;@ajtebrink Tbh, we didnt know that was possible.;0;1
20191029 142326;1189185981674426371;@anahie0325 Youre a part of the fam. ♥;1;1
20191029 142227;1189185732956442625;@freqsounds Happens to the best of us. 🙃;0;1
20191029 142208;1189185651880550401;@dennisesmeals Sounds about right.;0;1
20191029 142155;1189185599531388930;@BeyondXquisite What if we told you we were super impressed. 😍;0;1
20191029 141023;1189182696565723136;@Laaaurensitaaa Are we not enough?;1;1
20191029 141003;1189182612050513920;@PhattestRadish What about the bears, beets and Battlestar Galactica?;1;3
20191029 140845;1189182285523771392;@theywantduhv Ours doesnt even make it to the parking lot.;1;0
20191029 140815;1189182161363931139;@rjaileen15 Lucky us. 😍;1;2
20191029 140729;1189181967989923840;@hksndchrryblsms Love you more. 😘;0;5
20191029 140711;1189181890680573957;@SoftSpoken Does it rhyme with shoe?;1;1
20191029 140515;1189181405588344832;@alliepruett .corRWKj9pSxX;0;0
20191029 140458;1189181332599037957;@KitchOW Searches for the cat food;0;2
20191029 041242;1189032282880954373;@CinnamonRollBoy Hey, thats not such a bad thing.;0;1
20191029 041134;1189031997840281602;@LadyRen21 We knew youd agree!;0;2
20191029 041030;1189031730080092162;@Bakerchick07 .coMR4ZcUNPK0;0;1
20191029 032956;1189021523690115080;@Sasha72943537 Right!?!;0;1
20191029 031718;1189018341270282240;@JAndiBold1 Need is a relative term around here.;0;1
20191029 031656;1189018250371309568;@justtoosharp Is she okay?!;0;4
20191029 031633;1189018152493109248;@kreid21 We knew you couldnt stay away. 😉;1;1
20191029 031557;1189018004828446721;@kandacec95 Youre not wrong!;0;1
20191029 031546;1189017956359036930;@RuthieDeluna Your fall looks just got statement worthy. 😍;0;1
20191028 212603;1188929949119500294;@marstayon Were so proud! ❤;0;1
20191028 210628;1188925019033870337;@iamnyosha Good luck. 😂;0;0
20191028 210226;1188924006080094209;@Arabiab Thats a positive quality. 😉;0;0
20191028 205541;1188922307370213376;@Pureb3auty Aw thank you. ❤;0;1
20191028 203729;1188917724254277633;@KitchOW Purrfect! See you soon then.;1;7
20191028 203306;1188916624335745025;@StephAndThangs Moms know all the things!;0;3
20191028 200356;1188909280960942081;@alyssavanzant 😉;0;0
20191028 195439;1188906947661221891;@ahelms94 So true. 😂;1;1
20191028 194836;1188905425384755203;@isaacgrza Were good. 😊;0;4
20191028 190007;1188893221033787392;@amystweeter We know where were going trickortreating. 😍;0;0
20191028 165331;1188861363961118720;@bharrisontw Instant craving. 😍;0;1
20191028 165248;1188861183211778048;@KaitTheUnfunny Thats fair.;0;0
20191028 165204;1188860996313669632;@bayouwilson Love that for you.;0;2
20191028 163227;1188856063149432833;@BarghestBlack These are amazing. 😍;0;1
20191028 162951;1188855406090690560;@danni2108 Thats weird, because thats the definition of fun to us. 🙃;0;1
20191028 162704;1188854706241712128;@treybaeeee Dont forget. 😘;0;0
20191028 162517;1188854255798685697;@ppaperringss We remember. 💘;0;1
20191028 154836;1188845024894738434;@s1posterwife We love this for you. ❤;0;6
20191028 154451;1188844080173854720;@kathyklotzguest So well see you soon?;0;3
20191028 153601;1188841858404884481;@cammason .covI7xLi4Skm;1;7
20191028 153505;1188841623129673728;@darlingcatlady Now we might, too...;0;4
20191028 152755;1188839820346494976;@bonusbaby63 Same fortunately.;0;8
20191028 152408;1188838867316740096;@denisemontez Us. .coUW1wulF2Wv;0;4
20191028 151610;1188836865518047232;@Morgan1799 So time to go to Target?;0;3
20191028 151419;1188836397219766273;@jaycae .coa8tdyqokk5;1;17
20191028 151043;1188835491115945986;@crowew1978 Youre doing it right. 😉;0;4
20191028 150427;1188833913722101760;@TiffanyRockk True. ❤;1;5
20191028 144921;1188830114852823040;Do I need anything from Target?                                              No                Yes                             Go to Target    Go to Target;1711;6630
20191028 033521;1188660498826444800;@RandBallsStu We could not be happier for you. ❤;0;6
20191028 031300;1188654870913523713;@SaraFujimura Youre ready! 💪;0;1
20191028 030953;1188654089678270470;@ocarinia The best kind of Sunday. 🙌;0;0
20191028 030750;1188653573757902848;@SMummert .coBoraxZZITy;0;3
20191028 030151;1188652068304756736;@Kaitlynreside1 Tis the season! 🎃;0;2
20191028 025508;1188650375383044096;@OverTheTopWendy Definitely a successful change of scenery!;0;1
20191028 025239;1188649753480978433;@daisyy16 So true!;0;0
20191028 024812;1188648631739572226;@EricaWithAC Is that so much to ask!?;0;0
20191027 043011;1188311907889045504;@HAbbott4 .copLoagkQcK7;1;4
20191027 042653;1188311079165841409;@AlienHere2Love Its so good, right?;0;1
20191027 042236;1188309999631720448;@jennifermeckles Wow, just wow.;0;3
20191027 042054;1188309574266343424;@linmichelle Tbh, its true. 🍁;0;0
20191027 041838;1188309003887087617;@TheKentC We love your #TargetLittles Halloween spirit!;0;1
20191027 033519;1188298100575735809;@BrookeHaliscak Youre just a kid at heart!;0;3
20191027 033331;1188297647968477190;@ThatMommaLife You deserve it!;0;3
20191027 033146;1188297209500094464;@AYXELSID Love that for you.;2;4
20191027 032325;1188295107046465536;@127JlMlN 👀;0;0
20191026 003305;1187889851808518145;@kimcasemyers Anything is possible!;0;0
20191026 002855;1187888804155314177;@paigeelissaa .cokifyb8jEZC;0;2
20191026 002602;1187888076842033152;@aambers We dont doubt it!;1;3
20191026 002100;1187886810510311424;@Stepheezy Let our aisles be your guide. ❤️;1;7
20191026 001626;1187885662567043073;@LaurenEev Truer words were never tweeted.;0;2
20191026 001410;1187885094045999110;@jfug The more toys the merrier. 🎁;0;1
20191026 001324;1187884899837140992;@klsilvers Its best to be prepared!;0;2
20191026 001038;1187884203452588032;@swiftstrong13 Its perfect!;0;0
20191026 001004;1187884061672562688;@SoooSerene Like mother, like son.;0;3
20191025 220643;1187853018663936000;@merpizza Cute. ❤️;0;2
20191025 220512;1187852636063764480;@CassandraMarvin 👀;0;3
20191025 220235;1187851978912739328;@DeanaRagsdale Still on repeat.;0;11
20191025 215955;1187851305961873410;@BrianVolkert Game on.;0;3
20191025 215641;1187850495479701504;@mrsambermiller Our favorite saga!;0;1
20191025 215410;1187849861787537408;@KuiniMary Makes sense. 🙃;0;2
20191025 215307;1187849594220285953;@southernredhed Youre on a path for greatness. 🥇;2;26
20191025 215144;1187849248869699585;@matildajblack Youre definitely onto something. 😉;0;3
20191025 215018;1187848885861060608;@JRod2point0 Were seeing a pattern...;0;22
20191025 214742;1187848234745683969;@aesakh Happy Birthday! What movies​ did you get?!;0;1
20191025 214501;1187847558061793280;@zoehal012 Did we just become best friends?!;0;10
20191025 210018;1187836302659653633;@x3elizax3 You already know the answer. ❤️;0;1
20191025 205857;1187835964502298624;@loouaye Its beginning to feel a lot like...;0;2
20191025 205830;1187835852535291906;@TriflenTara Not us. 😂;0;0
20191025 200738;1187823052026994689;@StealthedArrow .coSGBpCXJp79;0;27
20191025 200606;1187822665953923072;@jlaud03 Nice.;0;9
20191025 200114;1187821439254253571;@KaylaColgan Our favorite aisle. ❤;0;7
20191025 195944;1187821061196451840;@lightheartedemo No you.;0;43
20191025 195929;1187820998302801920;@RealPoipole49 We like how you think. 🙌;0;10
20191025 195759;1187820623382360065;@JonathanToast .coaNVnBEdPy0;0;66
20191025 195506;1187819897407057920;@epicwerk Any proof? 👀;0;18
20191025 195246;1187819307314626561;@sweetivaree Whichever is easier for you. 😂;0;2
20191025 194124;1187816448804249600;@tcsharp Deal!;0;16
20191025 194123;1187816443322228737;@NanaCastro We just want everyone to be happy. 😂;0;1
20191025 193912;1187815893247680512;@zsilvey This will go down in the history. 😂;0;1
20191025 193849;1187815799005810688;Oh, you love Target? Name every aisle.;655;3604
20191025 193623;1187815186771709954;@rachdubbb Were here for it. 😉;0;1
20191025 192846;1187813270650007554;@miangcp Were so proud of you. 😍;0;1
20191025 192543;1187812501687361537;@jhoannalynn It might have been you. 🙃;1;4
20191025 182838;1187798135093022726;@whattabxtch We believe in you. ❤;0;0
20191025 181831;1187795590807261184;@jazminealina This is a real fear, but its worth it. 😉;0;0
20191025 181558;1187794946331435008;@crymeaRi0 Thats a real thing.;1;2
20191025 181002;1187793453834526720;@MitchNorth711 This would be revolutionary. 😂;1;6
20191025 170154;1187776310388625408;Shopping at Target with @AshBenzo and @MichellePhan is a mood. 😍 Watch the full video .coQi20ztseo8 .coNoEVjK1MLS;250;1915
20191025 161053;1187763468256075776;@tashamonique Love that for you. 💕;1;1
20191025 160410;1187761780220674052;@shorTay20 She gets you. ❤;0;0
20191025 160038;1187760889925115905;@LonelyGeekess Youre adulting correctly. 😂;1;7
20191025 155720;1187760060769984514;@EmilyKWhyte Your priorities are just fine, sweetie. ❤;0;4
20191025 150052;1187745850883301377;@pawpatrol .coPXDEsw6GML;20;68
20191025 150020;1187745716455825408;Trickortreat with @pawpatrol tomorrow 1026 from 10am  1pm! Find a participating store .co63Xfi6d4Dc .cocKmD1cFwOB;28;69
20191025 141421;1187734143460921344;@missengen Third times a charm?;0;1
20191025 140323;1187731383302721538;@averysweetblog Okay, but, same.;0;0
20191025 140307;1187731318584594432;@arkt20 At least you tried. 🤷;0;2
20191025 140244;1187731220140118017;@movasquez5 Waiting on our invite to movie night...;0;0
20191025 140222;1187731126401601537;@1TsiGalore Were not crying, youre crying.;0;1
20191025 140206;1187731060181868547;@Angelicaalez Its only been a week? Its felt like forever.;1;1
20191025 140124;1187730883140313089;@jordaanmonet Thats fair.;0;1
20191025 134950;1187727974021390347;@freakinjaz Typical #TargetRun.;0;0
20191025 134930;1187727889082572802;@STalazac All that matters is that you now have a piñata.;0;1
20191025 134517;1187726830486327296;@aubreyyreneeee Thats our favorite mood.;0;0
20191025 134504;1187726774635040768;@lovelyloner The feeling is mutual. ♥;0;0
20191025 134424;1187726606690856960;@audiseaa Practice makes perfect. 😉;0;1
20191025 134400;1187726505469722625;@EverlongPeace20 Graphic tees always know what to say.;0;1
20191025 134213;1187726058616954883;@bonitainspanish Love that for you.;0;0
20191025 134201;1187726007375142912;@mermaidsluvwine We havent stopped thinking about it.;0;0
20191025 134139;1187725914676834304;@AshKirksey We believe in you!;0;2
20191025 134124;1187725849736425473;@tooprettytee We miss you, so you actually do need to.;0;1
20191025 134058;1187725742722957312;@BriDiorr We say that every night.;0;0
20191025 021445;1187553051185438720;@LoveeAlyssaa Almost;1;2
20191025 021412;1187552910135173126;@desithesavage So whens the #TargetRun?;1;1
20191025 021301;1187552615502090240;@amberinoface Its something alright. 🤷;0;2
20191025 020930;1187551727106564096;@CLGagnon86 We ♥you from the bottom of our cart.;1;1
20191024 231437;1187507717025468418;@libbibosworth All bodies are beautiful. ❤;0;1
20191024 230510;1187505339727597568;@beckawall You do you.;0;2
20191024 230048;1187504240874479621;@tracylyn4 We could never have enough pumpkin spice!;0;1
20191024 225840;1187503704527769602;@chasenpestana .co7iroNgq9sP;0;0
20191024 225533;1187502920788561921;@StylinSouls Cute and affordable is a perfect combo! ☺;0;1
20191024 225211;1187502070968045569;@Laurenwagnernyc Snailed it! 💯;0;2
20191024 214757;1187485909735956483;@kiannalakaye Love that for you. ☺;0;0
20191024 212242;1187479553230409729;@missyalejandra Right back ya! 🤗;1;2
20191024 212227;1187479488659120128;@arosaless Way to go the extra mile. 😉;0;0
20191024 212219;1187479458913107968;@NurseBoBo Shopping is always better with a buddy! ❤️;2;16
20191024 212209;1187479416953331717;@makeupfaithful You get it. 💕;0;1
20191024 212200;1187479375513608194;@stylebypatty Well, this made our Thursday. 😍;0;1
20191024 212132;1187479260824526848;@gabriellee Hurry! 😂;0;0
20191024 195654;1187457959527374857;@merxodanae Well let you know when you get here. 😉;1;1
20191024 195351;1187457193920126976;@bbeomsjiaer That adorable. 😭;0;0
20191024 185233;1187441765411971072;@MakeupLovinMom Well see you here soon. 😉;0;1
20191024 185217;1187441699011907585;@kelseykay To the moon and back. ♥️;1;4
20191024 184050;1187438820247195649;@monerojas Youre our soulmate in human form. 😉;1;4
20191024 183506;1187437374655082496;@MissForrestedu #TargetRun pros in the making!;0;1
20191024 183414;1187437157327224834;@kendallcloud Yay!;0;0
20191024 174912;1187425826238844930;@destinytbhh Were always ready for that. 👻;0;0
20191024 173920;1187423342074224640;@gabbycruz Honestly, were impressed. 😂;1;0
20191024 173133;1187421382310842368;@ImMarathonMomma Because Target, as always. 😂;1;1
20191024 172226;1187419089796550657;@karenczx Only all the time. 🙃;1;1
20191024 172037;1187418630704848899;@bigrepupizzas No problem. 😊;0;1
20191024 171627;1187417581180936193;@Tatispumati Thats some expensive oatmeal. 🙃;0;0
20191024 162459;1187404629941899265;@hometownsgoner Nice.;0;1
20191024 161859;1187403121791766529;@lindseypowers98 We want them all. 😍;0;0
20191024 161429;1187401986561466368;@bfpickard We support this! 😂;0;4
20191024 160924;1187400709471383553;@mamaswiftie317 .coVobeIdYl3b;0;1
20191024 155820;1187397923752988672;@tcsharp Were crying! ❤️;0;1
